"Zebra Label Designer","Projektant etykiet Zebra"
"Template name","Nazwa szablonu"
"Active","Aktywny"
"Label settings","Ustawienia etykiety"
"Width (mm)","Szerokość (mm)"
"Height (mm)","Wysokość (mm)"
"Printer DPI","DPI drukarki"
"Source DocType","Źródłowy DocType"
"Design version","Wersja projektu"
"Design data","Dane projektu"
"Design JSON","Projekt JSON"
"Generated ZPL","Wygenerowany ZPL"
"Open designer","Otwórz projektant"
"Copy ZPL","Kopiuj ZPL"
"ZPL copied","Skopiowano ZPL"
"Export","Eksport"
